GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
4.633928799999999626e+00,8.853509400000000307e-01,3.117730900000000194e+00,3.000000000000000000e+00,3.432777777777777928e-01,8.415788684210523396e-02,9.998353324737491166e-01,2.582656460018865549e-02,-2.796549094104902600e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.091782199999999925e+00,1.393257699999999877e-01,3.677635499999999946e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.255265699999999818e+00,2.871973300000000062e+00,2.047664800000000007e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.141103300000000154e+00,2.644478100000000165e+00,6.366635000000000488e-01,1.000000000000000000e+00,5.214035087719297995e-02,-1.326086956521730070e-03,5.703990287464975883e-02,5.904000824716725861e-03,-2.044761630846542513e-03,1.000000000000000000e+00,0.000000000000000000e+00
3.362588600000000039e+00,6.139596699999999574e-01,6.599159799999999576e-01,1.000000000000000000e+00,1.665657881578947452e-01,-3.920515384615411852e-02,9.962464838107357723e-01,2.701545810122743529e-02,-2.520464517533276688e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.945031199999999849e+00,2.837220900000000157e+00,1.761170499999999972e+00,1.000000000000000000e+00,2.019365095238095376e-01,3.435385384615383120e-02,9.986650545015477443e-01,9.867931310602395811e-02,-4.798995405222829941e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.489216799999999452e+00,4.470736999999999739e+00,4.871163799999999711e+00,1.000000000000000000e+00,7.313333333333333908e-01,2.982343529411749308e-02,9.991282304929401947e-01,1.278735518490612677e-01,-7.208117188160907685e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.412624400000000335e+00,4.578746299999999714e+00,2.389670600000000089e+00,1.000000000000000000e+00,2.726521717391304223e-01,3.225002916666664526e-02,9.986536308895690439e-01,1.411419638949774902e-01,-6.006910456452952546e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.965818399999999855e+00,2.546624399999999788e+00,1.477818599999999982e+00,1.000000000000000000e+00,1.808428557142857385e-01,3.848612083333337319e-02,9.979635721576555207e-01,9.260371388207883081e-02,-4.706554548559633427e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.644704100000000002e+00,1.761050500000000074e+00,2.640878900000000140e+00,2.000000000000000000e+00,4.154642892857142722e-01,1.806666599999998679e-01,9.998367358505680924e-01,6.087938175002058361e-02,-1.828489211044470597e-02,2.000000000000000000e+00,1.821536283813452728e-01
1.902862499999999901e+00,4.828527900000000095e+00,3.077213799999999999e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.081795900000000032e-01,3.766280200000000189e+00,2.557611200000000196e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.632292699999999819e+00,4.921429599999999738e+00,3.493529999999999802e+00,2.000000000000000000e+00,5.192083291666667044e-01,1.116153846153852686e-01,9.994239602814165568e-01,1.444656385116477315e-01,-5.092322853527712911e-02,2.000000000000000000e+00,8.168558115491373339e-01
7.784608600000000322e-01,3.379258200000000212e+00,2.176539700000000188e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.162395699999999810e+00,1.253679699999999952e-01,2.567125299999999832e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.450356000000000201e+00,4.112350499999999798e+00,3.278492200000000079e+00,3.000000000000000000e+00,6.449444444444443203e-01,6.689993499999995208e-02,9.994029273063997909e-01,1.262129625183835979e-01,-4.025081511388083066e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.770599400000000045e+00,2.762967600000000079e+00,1.421854600000000080e+00,1.000000000000000000e+00,1.777605619718309882e-01,3.913698630136977497e-02,9.983759235259862530e-01,9.976090853530319991e-02,-4.575563612079915077e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.514145000000000074e+00,4.977888599999999997e+00,5.192354900000000217e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.179992799999999897e-01,2.917831899999999923e+00,5.439604500000000398e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.617551299999999692e+00,3.143661700000000003e+00,4.267253400000000418e+00,1.000000000000000000e+00,5.815714238095237576e-01,4.691301304347823831e-02,9.994404153506432076e-01,9.865575877541914174e-02,-4.383069943594981172e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.860167999999999822e+00,2.074315499999999979e+00,1.176439700000000005e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.615864300000000142e+00,3.082723099999999938e+00,4.930003199999999808e+00,1.000000000000000000e+00,5.845999999999998975e-01,3.699999999999978306e-02,9.992662590033194459e-01,9.396447483359776642e-02,-5.450268410043071499e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.523297100000000182e+00,4.729550800000000166e+00,1.223093200000000103e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.094236399999999776e+00,3.279334299999999924e+00,4.942304100000000311e+00,1.000000000000000000e+00,6.237222222222222889e-01,3.909999000000010522e-02,9.993052066601514349e-01,9.968381709576228100e-02,-5.345407179061880537e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.639206600000000069e+00,1.658906699999999956e+00,3.999321500000000196e+00,3.000000000000000000e+00,4.464814851851851563e-01,6.031037586206910300e-02,9.996492568665982237e-01,5.567823712940479092e-02,-3.068533542880964859e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.503366500000000272e+00,4.829234600000000377e+00,2.763478300000000054e+00,1.000000000000000000e+00,3.637941176470588234e-01,3.183331388888895747e-02,9.982152670654390603e-01,1.455380028632438649e-01,-5.842774420002901786e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.950920099999999380e+00,2.984726900000000072e+00,1.052892399999999951e+00,1.000000000000000000e+00,1.418764056179775412e-01,3.382417692307684159e-02,9.976696385020046298e-01,1.119628801562686238e-01,-5.249135090390802394e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.848569400000000362e-01,4.483144300000000193e+00,1.731589599999999951e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.888136800000000171e-01,4.559682399999999802e+00,6.799241900000000394e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.011992499999999851e+00,4.938547299999999918e-02,4.658900500000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.898504700000000156e+00,3.220831899999999859e+00,4.047153899999999638e+00,1.000000000000000000e+00,5.099583375000000807e-01,4.161541538461548118e-02,9.994465594134822606e-01,1.009312462791346759e-01,-4.913337061192191851e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.444997799999999444e+00,3.064967900000000078e+00,2.371325999999999823e+00,1.000000000000000000e+00,2.537142836734694318e-01,3.556863529411762731e-02,9.991181308761285518e-01,1.008300960189830037e-01,-5.391092950110173976e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.002890599999999743e+00,2.900248799999999960e+00,2.993873600000000135e+00,1.000000000000000000e+00,4.031333300000000119e-01,4.974992812499999528e-02,9.994493351645133972e-01,9.489527767591264540e-02,-3.943757348962502463e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.485201400000000227e+00,1.616580799999999929e+00,3.212010400000000043e+00,1.000000000000000000e+00,3.313243216216216203e-01,5.120512307692315357e-02,9.995863707744496729e-01,5.320365187949972763e-02,-3.885599606714932458e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.228392600000000279e+00,4.075422299999999609e+00,2.928429799999999972e+00,2.000000000000000000e+00,4.442142857142857282e-01,1.201333533333335396e-01,9.994924384302541487e-01,1.256034569555811997e-01,-4.015221603057089056e-02,2.000000000000000000e+00,9.092409817007920392e-01
5.645105400000000273e+00,1.101929799999999959e+00,1.644679000000000002e+00,3.000000000000000000e+00,2.277636363636363903e-01,6.464915263157888781e-02,9.990412734570605080e-01,4.012224564910506219e-02,-3.506371215935088353e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.913384899999999611e+00,1.619977699999999965e+00,7.462921099999999530e-01,1.000000000000000000e+00,1.555432111111111071e-01,4.333734578313254426e-02,9.976955170135175521e-01,6.821235561778576928e-02,-4.491834642979482262e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.073497299999999655e+00,1.536733799999999948e-02,7.594396500000000216e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.416185099999999863e+00,4.353527500000000217e+00,3.303771499999999861e+00,3.000000000000000000e+00,1.162555555555555564e+00,1.554545545454545652e-01,9.995776608656790074e-01,1.307002300447104026e-01,-4.313920765156319809e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.032514099999999990e+00,3.911704299999999801e+00,2.212020599999999781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.376376600000000394e+00,3.272688200000000158e+00,6.888847900000000246e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749055900000000108e+00,9.904519299999999804e-01,2.635730699999999871e+00,3.000000000000000000e+00,3.207631578947368611e-01,7.962501499999986854e-02,9.997826403358438530e-01,3.452894912392122373e-02,-2.711293583940280194e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.502014199999999633e+00,1.997307900000000025e+00,4.084603300000000381e+00,1.000000000000000000e+00,3.807187531249999757e-01,4.155885588235289779e-02,9.993685917283197107e-01,5.859859905559149096e-02,-5.378206974695018405e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.911249200000000315e+00,3.691711199999999860e+00,3.841752099999999892e+00,1.000000000000000000e+00,4.339642892857143441e-01,3.103328999999999810e-02,9.987669908052049239e-01,1.124778832961609437e-01,-6.616300764884949781e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.556685399999999220e+00,1.433776500000000009e+00,1.280797100000000022e+00,1.000000000000000000e+00,1.851029411764705812e-01,4.760002857142849736e-02,9.977343511206538951e-01,5.359612852897494006e-02,-4.671939366172756652e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.834604299999999633e+00,2.796908500000000117e-02,3.293462799999999913e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.673884900000000009e+00,1.082922799999999963e+00,7.318391199999999541e-01,1.000000000000000000e+00,1.754027791666666614e-01,5.218919594594600975e-02,9.981968271424147554e-01,4.819571888701316975e-02,-3.237408540290080683e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.169229999999999769e+00,7.863060200000000499e-01,1.320327999999999946e+00,1.000000000000000000e+00,2.186724120689655382e-01,5.053338833333344965e-02,9.974726416442188937e-01,2.682062663364351632e-02,-2.888168241439322687e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.789966599999999630e+00,2.584471699999999927e+00,2.779203900000000171e+00,1.000000000000000000e+00,2.778444422222222099e-01,3.553187446808506872e-02,9.991475249590540120e-01,8.385256773742943981e-02,-5.558406166832808443e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.267196400000000001e+00,3.005694200000000205e+00,8.986983899999999581e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.149688499999999891e+00,1.136001199999999933e+00,1.522797699999999921e+00,1.000000000000000000e+00,3.112750025000000087e-01,5.802375714285720049e-02,9.787656146209884334e-01,4.576880770815305866e-02,-1.846257715740315733e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.150155099999999209e+00,2.852473999999999954e+00,4.761760200000000331e+00,1.000000000000000000e+00,5.140833291666666582e-01,3.461533846153836552e-02,9.992262158875951927e-01,8.605596268787224501e-02,-5.899290106368837439e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.479348199999999558e+00,1.215600599999999920e+00,4.081053700000000006e+00,3.000000000000000000e+00,3.763750000000000151e-01,6.726473823529410812e-02,9.997323834018636557e-01,3.223825647842868541e-02,-3.771132529454041676e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.963878199999999907e+00,2.925083900000000181e+00,4.733029400000000386e+00,1.000000000000000000e+00,5.902499949999999718e-01,2.545450454545455585e-02,9.981460179908357988e-01,9.131570039841364894e-02,-4.590005304735336050e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.003120400000000245e+00,2.753179600000000171e+00,1.634360699999999889e-01,1.000000000000000000e+00,1.064750008333333192e-01,-1.364752377049178143e-02,9.987107356243039025e-01,1.208431310418842525e-01,-3.841433871622373236e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.954675900000000022e+00,4.093525399999999870e+00,4.632409599999999905e+00,3.000000000000000000e+00,1.097900000000000098e+00,8.816669999999982021e-02,9.997093025071901451e-01,1.203026349926705624e-01,-4.721487624695721447e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.612251499999999949e+00,4.641506200000000248e+00,3.566269899999999993e+00,3.000000000000000000e+00,1.736200019999999622e+00,2.817142142857146925e-01,9.998069891890105643e-01,1.344134612427541065e-01,-4.886432529092067656e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.673947300000000027e+00,1.242394100000000057e+00,8.344801099999999972e-01,1.000000000000000000e+00,1.738904095890411172e-01,4.995998666666668503e-02,9.979074238910864425e-01,5.171735920433159078e-02,-3.994931925659375715e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.201892900000000708e+00,1.858389999999999986e+00,4.353487499999999955e+00,1.000000000000000000e+00,4.007741935483870588e-01,3.624246969696964110e-02,9.986762249781322431e-01,5.302311630119149050e-02,-5.111392145983007645e-02,1.000000000000000000e+00,0.000000000000000000e+00
